source_index,lotName,waferIndex,label,split
78,lot4,4.0,none,train
79,lot4,5.0,none,train
80,lot4,6.0,none,train
81,lot4,7.0,none,train
82,lot4,8.0,none,train
83,lot4,9.0,none,train
84,lot4,10.0,none,train
85,lot4,11.0,none,train
86,lot4,12.0,none,train
87,lot4,13.0,none,train
88,lot4,14.0,none,train
89,lot4,15.0,none,train
90,lot4,16.0,none,train
91,lot4,17.0,none,train
92,lot4,18.0,none,train
93,lot4,19.0,none,train
94,lot4,20.0,none,train
95,lot4,21.0,none,train
96,lot4,22.0,none,train
97,lot4,23.0,none,train
98,lot4,24.0,none,train
99,lot4,25.0,none,train
100,lot5,1.0,Edge-Ring,train
101,lot5,2.0,none,train
102,lot5,3.0,none,train
103,lot5,4.0,none,train
104,lot5,5.0,none,train
105,lot5,6.0,none,train
106,lot5,7.0,none,train
107,lot5,8.0,none,train
108,lot5,9.0,none,train
109,lot5,10.0,none,train
110,lot5,11.0,none,train
111,lot5,12.0,none,train
112,lot5,13.0,none,train
113,lot5,14.0,none,train
114,lot5,15.0,none,train
115,lot5,16.0,none,train
116,lot5,17.0,none,train
117,lot5,18.0,none,train
118,lot5,19.0,none,train
119,lot5,20.0,none,train
121,lot5,22.0,none,train
122,lot5,23.0,none,train
123,lot5,24.0,none,train
124,lot5,25.0,none,train
125,lot6,1.0,none,train
126,lot6,2.0,none,train
127,lot6,3.0,none,train
128,lot6,4.0,none,train
129,lot6,5.0,none,train
130,lot6,6.0,none,train
131,lot6,7.0,none,train
132,lot6,8.0,none,train
133,lot6,9.0,none,train
134,lot6,10.0,Scratch,train
135,lot6,11.0,none,train
136,lot6,12.0,none,train
137,lot6,13.0,none,train
138,lot6,14.0,none,train
139,lot6,15.0,none,train
140,lot6,16.0,none,train
141,lot6,17.0,none,train
142,lot6,18.0,none,train
143,lot6,19.0,none,train
144,lot6,20.0,none,train
145,lot6,21.0,none,train
146,lot6,22.0,none,train
147,lot6,23.0,none,train
148,lot6,24.0,none,train
149,lot6,25.0,none,train
150,lot7,1.0,none,train
151,lot7,2.0,none,train
152,lot7,3.0,none,train
153,lot7,4.0,none,train
154,lot7,5.0,none,train
155,lot7,6.0,none,train
156,lot7,7.0,none,train
157,lot7,8.0,none,train
160,lot7,11.0,none,train
162,lot7,13.0,none,train
164,lot7,15.0,none,train
168,lot7,19.0,none,train
169,lot7,20.0,none,train
170,lot7,21.0,none,train
171,lot7,22.0,none,train
172,lot7,23.0,none,train
173,lot7,24.0,none,train
174,lot7,25.0,none,train
175,lot8,1.0,none,val
177,lot8,3.0,none,val
178,lot8,4.0,none,val
179,lot8,5.0,none,val
180,lot8,6.0,none,val
181,lot8,7.0,none,val
182,lot8,8.0,none,val
183,lot8,9.0,none,val
184,lot8,10.0,none,val
186,lot8,12.0,Edge-Ring,val
187,lot8,13.0,none,val
188,lot8,14.0,none,val
189,lot8,15.0,none,val
190,lot8,16.0,none,val
191,lot8,17.0,none,val
192,lot8,18.0,none,val
193,lot8,19.0,none,val
194,lot8,20.0,none,val
195,lot8,21.0,none,val
196,lot8,22.0,none,val
197,lot8,23.0,none,val
198,lot8,24.0,none,val
199,lot8,25.0,none,val
200,lot9,1.0,none,train
201,lot9,2.0,none,train
203,lot9,4.0,none,train
204,lot9,5.0,none,train
205,lot9,6.0,none,train
206,lot9,7.0,none,train
207,lot9,8.0,none,train
208,lot9,9.0,none,train
209,lot9,10.0,none,train
210,lot9,11.0,none,train
211,lot9,12.0,none,train
212,lot9,13.0,none,train
213,lot9,14.0,none,train
214,lot9,15.0,none,train
215,lot9,16.0,none,train
216,lot9,17.0,none,train
217,lot9,18.0,none,train
218,lot9,19.0,none,train
220,lot9,21.0,none,train
222,lot9,23.0,none,train
223,lot9,24.0,none,train
224,lot9,25.0,none,train
225,lot10,1.0,none,test
226,lot10,2.0,none,test
227,lot10,3.0,none,test
228,lot10,4.0,none,test
229,lot10,5.0,none,test
230,lot10,6.0,none,test
232,lot10,8.0,none,test
233,lot10,9.0,none,test
234,lot10,10.0,none,test
235,lot10,11.0,none,test
236,lot10,12.0,none,test
237,lot10,13.0,none,test
238,lot10,14.0,none,test
239,lot10,15.0,none,test
240,lot10,16.0,none,test
241,lot10,17.0,none,test
242,lot10,18.0,none,test
243,lot10,19.0,none,test
244,lot10,20.0,none,test
245,lot10,21.0,none,test
246,lot10,22.0,none,test
247,lot10,23.0,none,test
248,lot10,24.0,none,test
249,lot10,25.0,none,test
250,lot11,1.0,none,val
253,lot11,4.0,none,val
254,lot11,5.0,none,val
255,lot11,6.0,none,val
256,lot11,7.0,none,val
257,lot11,8.0,none,val
258,lot11,9.0,none,val
259,lot11,10.0,none,val
260,lot11,11.0,none,val
261,lot11,12.0,none,val
262,lot11,13.0,none,val
263,lot11,14.0,none,val
264,lot11,15.0,Edge-Loc,val
265,lot11,16.0,none,val
266,lot11,17.0,none,val
267,lot11,18.0,none,val
268,lot11,19.0,none,val
269,lot11,20.0,none,val
270,lot11,21.0,none,val
271,lot11,22.0,none,val
272,lot11,23.0,none,val
273,lot11,24.0,none,val
274,lot11,25.0,none,val
275,lot12,1.0,none,test
277,lot12,3.0,none,test
278,lot12,4.0,none,test
279,lot12,5.0,none,test
280,lot12,6.0,none,test
281,lot12,7.0,none,test
282,lot12,8.0,none,test
283,lot12,9.0,none,test
284,lot12,10.0,none,test
285,lot12,11.0,none,test
286,lot12,12.0,none,test
287,lot12,13.0,none,test
289,lot12,15.0,none,test
290,lot12,16.0,none,test
291,lot12,17.0,none,test
292,lot12,18.0,none,test
293,lot12,19.0,none,test
294,lot12,20.0,none,test
295,lot12,21.0,none,test
296,lot12,22.0,none,test
298,lot12,24.0,none,test
299,lot12,25.0,none,test
300,lot13,1.0,none,train
301,lot13,2.0,none,train
302,lot13,3.0,none,train
303,lot13,4.0,none,train
304,lot13,5.0,none,train
305,lot13,6.0,none,train
306,lot13,7.0,none,train
307,lot13,8.0,none,train
308,lot13,9.0,none,train
309,lot13,10.0,none,train
310,lot13,11.0,none,train
311,lot13,12.0,none,train
312,lot13,13.0,none,train
313,lot13,14.0,none,train
314,lot13,15.0,none,train
315,lot13,16.0,none,train
316,lot13,17.0,none,train
317,lot13,18.0,none,train
318,lot13,19.0,none,train
319,lot13,20.0,none,train
320,lot13,21.0,none,train
321,lot13,22.0,none,train
322,lot13,23.0,none,train
323,lot13,24.0,none,train
325,lot14,1.0,none,train
326,lot14,2.0,none,train
327,lot14,3.0,none,train
328,lot14,4.0,none,train
331,lot14,7.0,none,train
332,lot14,8.0,none,train
333,lot14,9.0,none,train
334,lot14,10.0,none,train
335,lot14,11.0,none,train
336,lot14,12.0,none,train
337,lot14,13.0,none,train
339,lot14,15.0,none,train
340,lot14,16.0,none,train
341,lot14,17.0,none,train
342,lot14,18.0,none,train
344,lot14,20.0,none,train
346,lot14,22.0,none,train
347,lot14,23.0,none,train
348,lot14,24.0,none,train
349,lot14,25.0,none,train
350,lot15,1.0,none,test
351,lot15,2.0,none,test
352,lot15,3.0,none,test
353,lot15,4.0,none,test
354,lot15,5.0,none,test
355,lot15,6.0,none,test
356,lot15,7.0,none,test
357,lot15,8.0,none,test
358,lot15,9.0,none,test
359,lot15,10.0,none,test
360,lot15,11.0,none,test
361,lot15,12.0,none,test
362,lot15,13.0,none,test
363,lot15,14.0,none,test
364,lot15,15.0,none,test
365,lot15,16.0,none,test
368,lot15,19.0,none,test
369,lot15,20.0,none,test
371,lot15,22.0,none,test
372,lot15,23.0,none,test
373,lot15,24.0,none,test
374,lot15,25.0,none,test
375,lot16,1.0,none,train
376,lot16,2.0,none,train
377,lot16,3.0,Edge-Loc,train
378,lot16,4.0,none,train
379,lot16,5.0,none,train
380,lot16,6.0,none,train
381,lot16,7.0,Edge-Loc,train
382,lot16,8.0,none,train
383,lot16,9.0,none,train
384,lot16,10.0,none,train
386,lot16,12.0,none,train
387,lot16,13.0,none,train
388,lot16,14.0,none,train
391,lot16,17.0,none,train
392,lot16,18.0,none,train
393,lot16,19.0,none,train
394,lot16,20.0,none,train
395,lot16,21.0,none,train
396,lot16,22.0,none,train
397,lot16,23.0,Edge-Loc,train
398,lot16,24.0,none,train
399,lot16,25.0,none,train
400,lot17,1.0,none,train
401,lot17,2.0,none,train
402,lot17,3.0,none,train
403,lot17,4.0,none,train
404,lot17,5.0,none,train
406,lot17,7.0,none,train
407,lot17,8.0,none,train
408,lot17,9.0,none,train
410,lot17,11.0,none,train
413,lot17,14.0,none,train
414,lot17,15.0,none,train
415,lot17,16.0,none,train
416,lot17,17.0,none,train
417,lot17,18.0,none,train
418,lot17,19.0,none,train
419,lot17,20.0,none,train
420,lot17,21.0,none,train
421,lot17,22.0,none,train
422,lot17,23.0,none,train
423,lot17,24.0,none,train
424,lot17,25.0,none,train
425,lot18,1.0,none,val
426,lot18,2.0,none,val
427,lot18,3.0,none,val
428,lot18,4.0,none,val
429,lot18,5.0,none,val
430,lot18,6.0,none,val
431,lot18,7.0,none,val
432,lot18,8.0,none,val
433,lot18,9.0,none,val
434,lot18,10.0,none,val
435,lot18,11.0,none,val
436,lot18,12.0,none,val
437,lot18,13.0,none,val
438,lot18,14.0,none,val
439,lot18,15.0,none,val
440,lot18,16.0,none,val
442,lot18,18.0,none,val
443,lot18,19.0,none,val
444,lot18,20.0,none,val
446,lot18,22.0,Edge-Loc,val
447,lot18,23.0,none,val
448,lot18,24.0,none,val
450,lot19,1.0,none,train
451,lot19,2.0,none,train
452,lot19,3.0,none,train
453,lot19,4.0,none,train
454,lot19,5.0,none,train
455,lot19,6.0,none,train
457,lot19,8.0,none,train
458,lot19,9.0,none,train
459,lot19,10.0,none,train
460,lot19,11.0,none,train
462,lot19,13.0,none,train
464,lot19,15.0,none,train
465,lot19,16.0,none,train
466,lot19,17.0,none,train
467,lot19,18.0,none,train
468,lot19,19.0,none,train
469,lot19,20.0,none,train
470,lot19,21.0,none,train
472,lot19,23.0,none,train
473,lot19,24.0,none,train
474,lot19,25.0,none,train
475,lot20,1.0,none,train
476,lot20,2.0,none,train
477,lot20,3.0,Edge-Loc,train
478,lot20,4.0,none,train
479,lot20,5.0,none,train
480,lot20,6.0,none,train
482,lot20,8.0,none,train
483,lot20,9.0,none,train
484,lot20,10.0,none,train
485,lot20,11.0,none,train
486,lot20,12.0,Edge-Loc,train
487,lot20,13.0,none,train
488,lot20,14.0,none,train
489,lot20,15.0,none,train
490,lot20,16.0,none,train
491,lot20,17.0,none,train
492,lot20,18.0,none,train
493,lot20,19.0,none,train
494,lot20,20.0,none,train
495,lot20,21.0,none,train
496,lot20,22.0,none,train
497,lot20,23.0,none,train
498,lot20,24.0,none,train
499,lot20,25.0,none,train
500,lot21,1.0,none,train
502,lot21,3.0,none,train
503,lot21,4.0,none,train
504,lot21,5.0,none,train
505,lot21,6.0,none,train
506,lot21,7.0,none,train
507,lot21,8.0,none,train
508,lot21,9.0,none,train
509,lot21,10.0,none,train
510,lot21,11.0,none,train
512,lot21,13.0,none,train
513,lot21,14.0,none,train
514,lot21,15.0,none,train
516,lot21,17.0,none,train
517,lot21,18.0,none,train
518,lot21,19.0,none,train
519,lot21,20.0,none,train
520,lot21,21.0,none,train
521,lot21,22.0,none,train
522,lot21,23.0,none,train
525,lot22,1.0,none,train
526,lot22,2.0,none,train
527,lot22,3.0,none,train
528,lot22,4.0,none,train
530,lot22,6.0,none,train
531,lot22,7.0,none,train
532,lot22,8.0,none,train
533,lot22,9.0,none,train
534,lot22,10.0,none,train
535,lot22,11.0,none,train
536,lot22,12.0,none,train
537,lot22,13.0,none,train
538,lot22,14.0,none,train
539,lot22,15.0,none,train
540,lot22,16.0,none,train
541,lot22,17.0,none,train
542,lot22,18.0,none,train
543,lot22,19.0,none,train
544,lot22,20.0,none,train
546,lot22,22.0,none,train
547,lot22,23.0,none,train
548,lot22,24.0,none,train
550,lot23,1.0,none,test
551,lot23,2.0,none,test
552,lot23,3.0,none,test
554,lot23,5.0,none,test
556,lot23,7.0,none,test
557,lot23,8.0,none,test
558,lot23,9.0,none,test
559,lot23,10.0,none,test
560,lot23,11.0,none,test
561,lot23,12.0,none,test
562,lot23,13.0,none,test
563,lot23,14.0,none,test
564,lot23,15.0,none,test
565,lot23,16.0,none,test
566,lot23,17.0,none,test
567,lot23,18.0,none,test
568,lot23,19.0,none,test
569,lot23,20.0,none,test
570,lot23,21.0,none,test
571,lot23,22.0,none,test
572,lot23,23.0,none,test
573,lot23,24.0,none,test
574,lot23,25.0,none,test
576,lot24,2.0,none,train
577,lot24,3.0,none,train
579,lot24,5.0,none,train
580,lot24,6.0,none,train
581,lot24,7.0,none,train
582,lot24,8.0,none,train
583,lot24,9.0,none,train
584,lot24,10.0,none,train
585,lot24,11.0,none,train
586,lot24,12.0,none,train
587,lot24,13.0,none,train
588,lot24,14.0,none,train
589,lot24,15.0,none,train
591,lot24,17.0,none,train
593,lot24,19.0,none,train
594,lot24,20.0,none,train
596,lot24,22.0,none,train
597,lot24,23.0,none,train
598,lot24,24.0,none,train
599,lot24,25.0,Scratch,train
600,lot25,1.0,none,train
601,lot25,2.0,none,train
602,lot25,3.0,Random,train
603,lot25,4.0,none,train
604,lot25,5.0,Center,train
605,lot25,6.0,none,train
606,lot25,7.0,none,train
607,lot25,8.0,none,train
608,lot25,9.0,none,train
609,lot25,10.0,none,train
610,lot25,11.0,none,train
611,lot25,12.0,none,train
612,lot25,13.0,none,train
613,lot25,14.0,none,train
615,lot25,16.0,none,train
616,lot25,17.0,none,train
618,lot25,19.0,none,train
619,lot25,20.0,none,train
621,lot25,22.0,none,train
623,lot25,24.0,none,train
624,lot25,25.0,none,train
625,lot26,1.0,none,train
626,lot26,2.0,none,train
627,lot26,3.0,none,train
628,lot26,4.0,none,train
629,lot26,5.0,none,train
630,lot26,6.0,none,train
631,lot26,7.0,none,train
632,lot26,8.0,none,train
634,lot26,10.0,none,train
635,lot26,11.0,none,train
637,lot26,13.0,none,train
638,lot26,14.0,none,train
639,lot26,15.0,none,train
641,lot26,17.0,none,train
642,lot26,18.0,none,train
643,lot26,19.0,none,train
644,lot26,20.0,none,train
645,lot26,21.0,none,train
646,lot26,22.0,Loc,train
648,lot26,24.0,none,train
649,lot26,25.0,none,train
650,lot27,1.0,none,train
651,lot27,2.0,none,train
652,lot27,3.0,none,train
653,lot27,4.0,none,train
654,lot27,5.0,none,train
655,lot27,6.0,none,train
656,lot27,7.0,none,train
657,lot27,8.0,none,train
658,lot27,9.0,none,train
659,lot27,10.0,none,train
660,lot27,11.0,none,train
661,lot27,12.0,none,train
662,lot27,13.0,none,train
666,lot27,17.0,Edge-Loc,train
667,lot27,18.0,none,train
668,lot27,19.0,none,train
669,lot27,20.0,none,train
670,lot27,21.0,none,train
671,lot27,22.0,none,train
672,lot27,23.0,none,train
673,lot27,24.0,none,train
674,lot27,25.0,none,train
675,lot28,1.0,none,val
676,lot28,2.0,none,val
677,lot28,3.0,none,val
678,lot28,4.0,none,val
680,lot28,6.0,Loc,val
681,lot28,7.0,none,val
683,lot28,9.0,none,val
684,lot28,10.0,none,val
685,lot28,11.0,none,val
686,lot28,12.0,none,val
687,lot28,13.0,none,val
688,lot28,14.0,none,val
689,lot28,15.0,none,val
690,lot28,16.0,none,val
691,lot28,17.0,none,val
694,lot28,20.0,none,val
695,lot28,21.0,none,val
696,lot28,22.0,none,val
697,lot28,23.0,none,val
698,lot28,24.0,none,val
699,lot28,25.0,none,val
700,lot29,1.0,none,train
701,lot29,2.0,none,train
702,lot29,3.0,none,train
704,lot29,5.0,none,train
706,lot29,7.0,none,train
707,lot29,8.0,none,train
708,lot29,9.0,none,train
709,lot29,10.0,none,train
711,lot29,12.0,none,train
713,lot29,14.0,none,train
714,lot29,15.0,none,train
715,lot29,16.0,none,train
716,lot29,17.0,none,train
717,lot29,18.0,none,train
718,lot29,19.0,none,train
721,lot29,22.0,none,train
723,lot29,24.0,none,train
724,lot29,25.0,none,train
725,lot30,1.0,none,train
726,lot30,2.0,none,train
728,lot30,4.0,none,train
729,lot30,5.0,Center,train
730,lot30,6.0,none,train
731,lot30,7.0,none,train
733,lot30,9.0,none,train
734,lot30,10.0,none,train
735,lot30,11.0,none,train
736,lot30,12.0,none,train
737,lot30,13.0,none,train
739,lot30,15.0,none,train
740,lot30,16.0,none,train
741,lot30,17.0,none,train
742,lot30,18.0,none,train
743,lot30,19.0,Scratch,train
744,lot30,20.0,none,train
745,lot30,21.0,none,train
746,lot30,22.0,none,train
747,lot30,23.0,none,train
748,lot30,24.0,none,train
749,lot30,25.0,none,train
750,lot31,1.0,none,val
751,lot31,2.0,none,val
752,lot31,3.0,none,val
754,lot31,5.0,none,val
756,lot31,7.0,none,val
757,lot31,8.0,none,val
759,lot31,10.0,none,val
760,lot31,11.0,none,val
762,lot31,13.0,none,val
763,lot31,14.0,none,val
764,lot31,15.0,none,val
765,lot31,16.0,none,val
766,lot31,17.0,none,val
769,lot31,20.0,none,val
770,lot31,21.0,none,val
771,lot31,22.0,none,val
773,lot31,24.0,none,val
774,lot31,25.0,none,val
776,lot32,2.0,none,val
777,lot32,3.0,none,val
778,lot32,4.0,none,val
779,lot32,5.0,none,val
780,lot32,6.0,none,val
781,lot32,7.0,none,val
782,lot32,8.0,none,val
783,lot32,9.0,none,val
784,lot32,10.0,none,val
785,lot32,11.0,none,val
786,lot32,12.0,none,val
787,lot32,13.0,Edge-Loc,val
788,lot32,14.0,none,val
789,lot32,15.0,none,val
790,lot32,16.0,none,val
791,lot32,17.0,none,val
792,lot32,18.0,none,val
793,lot32,19.0,none,val
794,lot32,20.0,none,val
795,lot32,21.0,none,val
796,lot32,22.0,none,val
797,lot32,23.0,none,val
798,lot32,24.0,none,val
799,lot32,25.0,none,val
801,lot33,2.0,none,val
802,lot33,3.0,none,val
803,lot33,4.0,none,val
804,lot33,5.0,none,val
805,lot33,6.0,none,val
806,lot33,7.0,none,val
807,lot33,8.0,none,val
808,lot33,9.0,Edge-Loc,val
809,lot33,10.0,none,val
810,lot33,11.0,none,val
811,lot33,12.0,none,val
812,lot33,13.0,none,val
813,lot33,14.0,none,val
815,lot33,16.0,none,val
816,lot33,17.0,none,val
817,lot33,18.0,none,val
819,lot33,20.0,none,val
820,lot33,21.0,none,val
821,lot33,22.0,none,val
822,lot33,23.0,none,val
823,lot33,24.0,none,val
824,lot33,25.0,Loc,val
825,lot34,1.0,none,train
826,lot34,2.0,none,train
828,lot34,4.0,none,train
829,lot34,5.0,none,train
830,lot34,6.0,none,train
832,lot34,8.0,Edge-Loc,train
833,lot34,9.0,none,train
834,lot34,10.0,none,train
835,lot34,11.0,none,train
836,lot34,12.0,none,train
838,lot34,14.0,none,train
839,lot34,15.0,none,train
840,lot34,16.0,none,train
841,lot34,17.0,none,train
842,lot34,18.0,none,train
843,lot34,19.0,none,train
844,lot34,20.0,none,train
845,lot34,21.0,none,train
846,lot34,22.0,none,train
848,lot34,24.0,none,train
849,lot34,25.0,none,train
850,lot35,1.0,none,train
851,lot35,2.0,none,train
852,lot35,3.0,none,train
853,lot35,4.0,none,train
854,lot35,5.0,none,train
856,lot35,7.0,none,train
857,lot35,8.0,none,train
859,lot35,10.0,none,train
860,lot35,11.0,none,train
861,lot35,12.0,none,train
863,lot35,14.0,none,train
864,lot35,15.0,none,train
867,lot35,18.0,none,train
869,lot35,20.0,none,train
870,lot35,21.0,none,train
871,lot35,22.0,none,train
872,lot35,23.0,none,train
873,lot35,24.0,none,train
874,lot35,25.0,none,train
875,lot36,1.0,none,train
877,lot36,3.0,none,train
878,lot36,4.0,none,train
879,lot36,5.0,none,train
880,lot36,6.0,none,train
881,lot36,7.0,none,train
882,lot36,8.0,none,train
883,lot36,9.0,none,train
884,lot36,10.0,none,train
885,lot36,11.0,none,train
886,lot36,12.0,none,train
887,lot36,13.0,none,train
888,lot36,14.0,none,train
890,lot36,16.0,none,train
891,lot36,17.0,none,train
893,lot36,19.0,Center,train
894,lot36,20.0,none,train
895,lot36,21.0,none,train
897,lot36,23.0,none,train
898,lot36,24.0,none,train
899,lot36,25.0,none,train
900,lot37,1.0,none,test
901,lot37,2.0,none,test
902,lot37,3.0,none,test
903,lot37,4.0,none,test
904,lot37,5.0,none,test
905,lot37,6.0,none,test
906,lot37,7.0,none,test
907,lot37,8.0,none,test
908,lot37,9.0,none,test
909,lot37,10.0,none,test
911,lot37,12.0,none,test
912,lot37,13.0,none,test
913,lot37,14.0,none,test
914,lot37,15.0,none,test
915,lot37,16.0,none,test
916,lot37,17.0,none,test
917,lot37,18.0,none,test
918,lot37,19.0,none,test
919,lot37,20.0,none,test
920,lot37,21.0,none,test
921,lot37,22.0,none,test
924,lot37,25.0,none,test
926,lot38,2.0,none,val
927,lot38,3.0,none,val
928,lot38,4.0,none,val
929,lot38,5.0,Near-full,val
930,lot38,6.0,none,val
931,lot38,7.0,none,val
934,lot38,10.0,none,val
936,lot38,12.0,none,val
937,lot38,13.0,none,val
938,lot38,14.0,none,val
939,lot38,15.0,none,val
941,lot38,17.0,none,val
942,lot38,18.0,none,val
943,lot38,19.0,none,val
944,lot38,20.0,none,val
945,lot38,21.0,none,val
946,lot38,22.0,none,val
947,lot38,23.0,none,val
948,lot38,24.0,none,val
949,lot38,25.0,none,val
950,lot39,1.0,none,train
951,lot39,2.0,none,train
952,lot39,3.0,Edge-Loc,train
953,lot39,4.0,none,train
954,lot39,5.0,none,train
957,lot39,8.0,none,train
958,lot39,9.0,none,train
959,lot39,10.0,none,train
960,lot39,11.0,none,train
961,lot39,12.0,none,train
962,lot39,13.0,none,train
963,lot39,14.0,none,train
964,lot39,15.0,none,train
965,lot39,16.0,none,train
966,lot39,17.0,none,train
967,lot39,18.0,none,train
968,lot39,19.0,none,train
969,lot39,20.0,none,train
970,lot39,21.0,none,train
971,lot39,22.0,none,train
972,lot39,23.0,none,train
973,lot39,24.0,none,train
975,lot40,1.0,none,train
976,lot40,2.0,none,train
977,lot40,3.0,none,train
978,lot40,4.0,none,train
979,lot40,5.0,none,train
980,lot40,6.0,none,train
981,lot40,7.0,none,train
983,lot40,9.0,Random,train
984,lot40,10.0,none,train
985,lot40,11.0,none,train
986,lot40,12.0,none,train
987,lot40,13.0,none,train
989,lot40,15.0,none,train
990,lot40,16.0,none,train
991,lot40,17.0,none,train
992,lot40,18.0,none,train
993,lot40,19.0,none,train
994,lot40,20.0,none,train
995,lot40,21.0,none,train
996,lot40,22.0,none,train
997,lot40,23.0,none,train
998,lot40,24.0,none,train
999,lot40,25.0,none,train
1000,lot41,1.0,none,val
1001,lot41,2.0,none,val
1002,lot41,3.0,none,val
1004,lot41,5.0,none,val
1005,lot41,6.0,none,val
1006,lot41,7.0,none,val
1008,lot41,9.0,none,val
1009,lot41,10.0,none,val
1011,lot41,12.0,none,val
1012,lot41,13.0,none,val
1013,lot41,14.0,none,val
1017,lot41,18.0,none,val
1018,lot41,19.0,none,val
1023,lot41,24.0,none,val
1025,lot42,1.0,Edge-Loc,train
1026,lot42,2.0,none,train
1027,lot42,3.0,none,train
1028,lot42,4.0,none,train
1029,lot42,5.0,none,train
1031,lot42,7.0,none,train
1032,lot42,8.0,none,train
1033,lot42,9.0,none,train
1034,lot42,10.0,none,train
1035,lot42,11.0,none,train
1036,lot42,12.0,none,train
1037,lot42,13.0,none,train
1038,lot42,14.0,none,train
1040,lot42,16.0,none,train
1041,lot42,17.0,none,train
1043,lot42,19.0,none,train
1046,lot42,22.0,none,train
1047,lot42,23.0,none,train
1048,lot42,24.0,Loc,train
1049,lot42,25.0,none,train
1050,lot43,1.0,none,train
1051,lot43,2.0,none,train
1052,lot43,3.0,none,train
1053,lot43,4.0,none,train
1055,lot43,6.0,none,train
1057,lot43,8.0,none,train
1058,lot43,9.0,none,train
1060,lot43,11.0,none,train
1061,lot43,12.0,none,train
1062,lot43,13.0,none,train
1063,lot43,14.0,none,train
1064,lot43,15.0,none,train
1065,lot43,16.0,none,train
1066,lot43,17.0,none,train
1067,lot43,18.0,none,train
1068,lot43,19.0,none,train
1069,lot43,20.0,none,train
1070,lot43,21.0,none,train
1071,lot43,22.0,none,train
1072,lot43,23.0,none,train
1073,lot43,24.0,none,train
1074,lot43,25.0,none,train
1075,lot44,1.0,none,val
1076,lot44,2.0,none,val
1077,lot44,3.0,none,val
1078,lot44,4.0,none,val
1079,lot44,5.0,none,val
1080,lot44,6.0,none,val
1081,lot44,7.0,none,val
1082,lot44,8.0,none,val
1083,lot44,9.0,none,val
1084,lot44,10.0,none,val
1086,lot44,12.0,none,val
1087,lot44,13.0,none,val
1088,lot44,14.0,none,val
1090,lot44,16.0,none,val
1091,lot44,17.0,none,val
1092,lot44,18.0,none,val
1093,lot44,19.0,none,val
1094,lot44,20.0,none,val
1095,lot44,21.0,none,val
1096,lot44,22.0,none,val
1097,lot44,23.0,none,val
1098,lot44,24.0,none,val
1099,lot44,25.0,none,val
1101,lot45,2.0,none,train
1103,lot45,4.0,none,train
1104,lot45,5.0,none,train
1105,lot45,6.0,none,train
1106,lot45,7.0,none,train
1107,lot45,8.0,none,train
1108,lot45,9.0,none,train
1109,lot45,10.0,none,train
1110,lot45,11.0,none,train
1111,lot45,12.0,none,train
1113,lot45,14.0,none,train
1114,lot45,15.0,none,train
1115,lot45,16.0,none,train
1116,lot45,17.0,none,train
1117,lot45,18.0,none,train
1119,lot45,20.0,none,train
1120,lot45,21.0,none,train
1121,lot45,22.0,none,train
1122,lot45,23.0,none,train
1123,lot45,24.0,none,train
1124,lot45,25.0,none,train
1125,lot46,1.0,none,train
